name,height_cm,weight_kg,reach_cm,stance,dob,splm,str_acc,sapm,str_def,td_avg,td_avg_acc,td_def,sub_avg,wins,losses,draws
Dustin Moore,162.56,56.7,,,,,,,,,,,,,,
Dustin Neace,175.26,65.77,175.26,,1986-09-12,2.08,32.0,2.66,56.0,0.0,0.0,0.0,1.7,25.0,21.0,1.0
Dustin Ortiz,165.1,56.7,165.1,Orthodox,1988-12-25,2.94,44.0,2.17,56.0,3.01,36.0,52.0,0.1,19.0,8.0,0.0
Dustin Pague,175.26,61.23,187.96,Orthodox,1987-08-05,1.65,53.0,2.96,41.0,1.03,44.0,55.0,2.6,12.0,11.0,0.0
Dustin Poirier,175.26,70.31,182.88,Southpaw,1989-01-19,5.24,50.0,4.57,52.0,1.15,35.0,64.0,1.2,30.0,10.0,0.0
Dustin Stoltzfus,182.88,83.91,190.5,Orthodox,1991-11-15,3.14,45.0,3.14,47.0,2.26,41.0,46.0,1.3,16.0,7.0,0.0
Dustin West,180.34,77.11,,,,,,,,,,,,,,
Dwayne Cason,177.8,96.16,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Dwight Grant,185.42,83.91,193.04,Switch,1984-09-14,3.29,36.0,2.66,60.0,0.61,100.0,66.0,0.0,11.0,6.0,0.0
Dwight Joseph,167.64,61.23,,Switch,1989-08-16,,,,,,,,,,,
Dylan Andrews,185.42,83.91,187.96,Switch,1979-11-15,2.21,50.0,2.72,46.0,2.83,50.0,57.0,0.4,18.0,7.0,0.0
Dylan Budka,182.88,83.91,190.5,Switch,2000-01-14,1.06,38.0,1.8,42.0,1.93,38.0,76.0,0.4,7.0,5.0,0.0
Dylan Lockard,175.26,65.77,182.88,Orthodox,1992-05-19,,,,,,,,,,,
Dylan Mantello,185.42,70.31,185.42,Orthodox,1992-11-19,,,,,,,,,,,
Dylan Potter,187.96,102.06,195.58,Switch,1995-01-14,,,,,,,,,,,
Dylan Salvador,175.26,70.31,175.26,Southpaw,1993-05-20,,,,,,,,,,,
Ebenezer Fontes Braga,182.88,90.26,,Orthodox,1969-04-14,2.42,50.0,0.42,71.0,0.0,0.0,90.0,0.6,13.0,7.0,2.0
Ed Herman,185.42,92.99,195.58,Orthodox,1980-10-02,3.31,48.0,3.71,42.0,1.96,47.0,59.0,1.0,27.0,16.0,0.0
Ed Ratcliff,177.8,70.31,180.34,Orthodox,1983-03-05,,,,,,,,,,,
Eddie Alvarez,175.26,70.31,175.26,Orthodox,1984-01-11,4.32,41.0,4.39,55.0,2.92,36.0,92.0,0.5,29.0,6.0,0.0
Eddie Gordon,182.88,83.91,193.04,Orthodox,1983-07-22,2.03,32.0,2.57,60.0,1.93,83.0,63.0,0.0,8.0,4.0,0.0
Eddie Mendez,177.8,83.91,,,1984-01-16,1.71,33.0,3.43,11.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0
Eddie Ruiz,170.18,70.31,,Orthodox,1967-06-10,0.2,25.0,1.4,47.0,2.0,12.0,0.0,0.0,1.0,1.0,0.0
Eddie Sanchez,187.96,104.33,187.96,Orthodox,1982-11-04,3.45,43.0,3.3,43.0,1.13,26.0,42.0,0.0,15.0,8.0,0.0
Eddie Wineland,170.18,61.23,175.26,Orthodox,1984-06-26,3.4,29.0,3.76,68.0,0.34,33.0,86.0,0.1,24.0,16.0,1.0
Eddie Yagin,170.18,65.77,,Orthodox,1979-03-23,3.13,30.0,5.77,42.0,0.0,0.0,62.0,1.0,16.0,7.0,1.0
Eddy Ellis,175.26,77.11,,Orthodox,,,,,,,,,,,,
Eddy Millis,185.42,83.91,,,,,,,,,,,,,,
Edgar Cardenas,,65.77,,,,,,,,,,,,,,
Edgar Chairez,170.18,56.7,180.34,Orthodox,1996-01-27,3.44,44.0,5.08,42.0,0.0,0.0,33.0,1.7,12.0,6.0,0.0
Edgar Garcia,177.8,77.11,180.34,Orthodox,1984-02-22,3.16,29.0,4.23,60.0,2.21,57.0,50.0,0.6,14.0,5.0,0.0
Edilberto de Oliveira,182.88,77.11,,Orthodox,1982-11-22,4.12,32.0,6.79,61.0,0.0,0.0,0.0,0.0,29.0,15.0,2.0
Edimilson Souza,182.88,65.77,187.96,Orthodox,1984-10-17,4.65,44.0,2.91,58.0,0.0,0.0,50.0,0.0,15.0,5.0,0.0
Edivan Santos,193.04,112.49,198.12,Orthodox,1992-05-03,,,,,,,,,,,
Edmen Shahbazyan,187.96,83.91,190.5,Orthodox,1997-11-20,3.74,48.0,3.62,48.0,1.69,37.0,66.0,0.4,15.0,5.0,0.0
Ednaldo Oliveira,195.58,92.99,,Orthodox,1984-02-19,1.03,22.0,1.8,52.0,0.0,0.0,42.0,0.0,17.0,3.0,1.0
Edson Barboza,180.34,70.31,190.5,Orthodox,1986-01-21,4.14,44.0,4.6,55.0,0.43,50.0,73.0,0.1,24.0,13.0,0.0
Edson Berto,167.64,70.31,,Orthodox,1983-07-05,,,,,,,,,,,
Edson Drago,193.04,99.79,,Orthodox,1977-08-29,,,,,,,,,,,
Edson Gomez,172.72,77.11,175.26,Switch,1991-02-23,,,,,,,,,,,
Edson Silva,,92.99,,Orthodox,,,,,,,,,,,,
Eduarda Moura,167.64,56.7,170.18,Orthodox,1994-02-28,3.04,37.0,2.47,61.0,3.73,37.0,80.0,0.3,12.0,1.0,0.0
Eduardo Bustillos,172.72,61.23,,,1987-06-02,,,,,,,,,,,
Eduardo Chapolin,170.18,56.7,170.18,Orthodox,1995-11-23,,,,,,,,,,,
Eduardo Dantas,177.8,61.23,,,1989-02-03,,,,,,,,,,,
Eduardo Garagorri,175.26,65.77,177.8,Orthodox,1989-05-28,3.42,51.0,2.36,58.0,0.48,100.0,61.0,0.0,13.0,2.0,0.0
Eduardo Neves,187.96,119.29,198.12,Orthodox,2000-03-16,,,,,,,,,,,
Eduardo Pamplona,180.34,77.11,,,1973-02-20,,,,,,,,,,,
Eduardo Torres Caut,170.18,61.23,177.8,Orthodox,1995-04-26,,,,,,,,,,,
Edward Faaloloto,,70.31,177.8,Orthodox,1984-07-15,2.28,32.0,6.25,44.0,1.01,25.0,33.0,0.0,2.0,5.0,0.0
Edwin Aguilar,177.8,83.91,,,,,,,,,,,,,,
Edwin DeWees,185.42,83.91,,Orthodox,1982-08-07,1.53,33.0,6.19,39.0,2.18,66.0,0.0,3.3,38.0,17.0,0.0
Edwin Figueroa,170.18,61.23,175.26,Orthodox,1984-07-31,2.57,39.0,3.06,51.0,0.2,100.0,37.0,0.6,9.0,5.0,0.0
Efrain Escudero,175.26,70.31,180.34,Orthodox,1986-01-15,2.92,44.0,2.3,63.0,1.31,40.0,66.0,0.8,28.0,12.0,0.0
Egan Inoue,175.26,86.18,,Southpaw,1965-07-04,,,,,,,,,,,
Egidijus Valavicius,182.88,90.72,,Orthodox,,,,,,,,,,,,
Eiji Ishikawa,177.8,77.11,,,1979-10-12,,,,,,,,,,,
Eiji Mitsuoka,170.18,65.77,,Southpaw,1976-01-01,1.49,49.0,2.26,45.0,2.3,36.0,20.0,1.6,18.0,9.0,2.0
Elaina Maxwell,172.72,65.77,,Orthodox,1978-12-16,,,,,,,,,,,
Eldari Kurtanidze,167.64,106.59,,Orthodox,1972-04-16,,,,,,,,,,,
Eldo Xavier Dias,180.34,81.65,,,1964-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Eli Aronov,177.8,83.91,182.88,Orthodox,1996-06-06,,,,,,,,,,,
Eli Tamez,170.18,61.23,,,1985-08-22,,,,,,,,,,,
Elias Garcia,165.1,56.7,170.18,Southpaw,1992-09-13,1.59,27.0,5.05,50.0,0.68,14.0,33.0,1.4,6.0,2.0,0.0
Elias Silverio,180.34,70.31,185.42,Orthodox,1986-09-22,3.67,49.0,2.97,51.0,1.62,38.0,85.0,0.2,13.0,3.0,0.0
Elias Theodorou,185.42,83.91,190.5,Orthodox,1988-05-31,4.19,42.0,2.39,53.0,1.27,28.0,59.0,0.0,16.0,3.0,0.0
Elias Urbina,190.5,83.91,195.58,Southpaw,1993-10-09,,,,,,,,,,,
Eliezer Kubanza,175.26,77.11,187.96,Orthodox,1997-12-23,,,,,,,,,,,
Elijah Smith,175.26,61.23,180.34,Orthodox,2002-09-05,4.45,47.0,3.4,47.0,3.51,53.0,57.0,0.9,9.0,1.0,0.0
Eliot Marshall,187.96,92.99,195.58,Orthodox,1980-07-07,1.93,27.0,2.39,67.0,0.47,33.0,79.0,0.9,10.0,4.0,0.0
Elise Reed,160.02,52.16,160.02,Orthodox,1992-12-05,3.41,53.0,3.26,51.0,0.46,60.0,53.0,0.0,8.0,5.0,0.0
Elisha Ellison,182.88,107.95,198.12,Orthodox,1997-03-05,,,,,,,,,,,
Elisha Helsper,167.64,61.23,,Orthodox,1983-02-06,,,,,,,,,,,
Elizabeth Phillips,167.64,61.23,165.1,Orthodox,1986-08-20,2.6,33.0,3.07,58.0,0.75,25.0,53.0,0.2,6.0,6.0,0.0
Elizeu Zaleski dos Santos,180.34,77.11,185.42,Orthodox,1986-12-11,4.16,41.0,3.56,55.0,0.79,20.0,67.0,0.4,25.0,10.0,1.0
Elves Brener,177.8,70.31,182.88,Orthodox,1997-09-27,4.76,47.0,5.86,50.0,0.99,16.0,76.0,0.0,16.0,6.0,0.0
Elvis Mutapcic,182.88,83.91,182.88,Orthodox,1986-07-19,3.41,40.0,4.27,38.0,0.0,0.0,81.0,0.0,15.0,6.0,1.0
Elvis Sinosic,190.5,92.99,195.58,Orthodox,1971-02-13,1.13,37.0,4.6,53.0,0.0,0.0,0.0,1.2,7.0,11.0,2.0
Emanuel Newton,185.42,92.99,,,1984-01-02,,,,,,,,,,,
Emil Meek,180.34,77.11,187.96,Switch,1988-08-20,2.52,39.0,2.53,38.0,0.25,33.0,47.0,1.0,9.0,5.0,1.0
Emiliano Linares,172.72,65.77,182.88,Orthodox,1997-04-21,,,,,,,,,,,
Emiliano Sordi,187.96,92.99,,Orthodox,1991-02-15,,,,,,,,,,,
Emilio Chavez,175.26,65.77,,,,,,,,,,,,,,
Emilio Cuellar,,56.7,,,,,,,,,,,,,,
Emily Ducote,157.48,52.16,160.02,Orthodox,1994-01-01,7.45,52.0,7.84,57.0,0.2,14.0,94.0,0.0,13.0,9.0,0.0
Emily Fernandez,,,,,,,,,,,,,,,,
Emily Kagan,160.02,52.16,,,1981-07-14,2.6,36.0,5.29,38.0,1.86,14.0,50.0,0.0,3.0,3.0,0.0
Emily Whitmire,165.1,56.7,160.02,Orthodox,1991-05-24,2.5,31.0,2.98,54.0,1.9,66.0,70.0,0.5,4.0,5.0,0.0
Emmanuel Sanchez,175.26,65.77,180.34,,1990-08-11,,,,,,,,,,,
Emmanuel Yarborough,203.2,349.27,,Open Stance,1960-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
Emrah Sonmez,177.8,65.77,180.34,Orthodox,1992-06-26,,,,,,,,,,,
Enrique Barzola,170.18,65.77,177.8,Orthodox,1989-04-28,3.91,41.0,2.97,68.0,4.2,45.0,66.0,0.3,17.0,5.0,2.0
Enrique Marin,177.8,77.11,,,1986-09-02,1.43,33.0,3.0,50.0,2.5,38.0,60.0,1.0,10.0,4.0,0.0
Enrique Watson,,83.91,,,,,,,,,,,,,,
Enson Inoue,177.8,95.25,,Orthodox,1967-04-15,1.7,63.0,1.88,30.0,0.0,0.0,33.0,0.0,12.0,8.0,0.0
EoJin Park,182.88,65.77,180.34,Orthodox,2001-12-26,,,,,,,,,,,
Eperaim Ginting,162.56,61.23,162.56,Orthodox,1995-11-30,,,,,,,,,,,
Eric Bedard,187.96,108.41,,,1984-09-11,,,,,,,,,,,
Eric Castile,172.72,65.77,,,,,,,,,,,,,,
Eric Esch,180.34,158.76,,Orthodox,1968-08-03,,,,,,,,,,,
Eric Galvan,,70.31,,,,,,,,,,,,,,
Eric Irvin,172.72,70.31,,,1986-01-10,,,,,,,,,,,
Eric Jacob,,70.31,,,,,,,,,,,,,,
Eric Lawson,182.88,83.91,,Orthodox,,,,,,,,,,,,
Eric Magana,,,,,,,,,,,,,,,,
Eric Martin,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Eric McConico,182.88,83.91,195.58,Southpaw,1990-05-09,1.51,36.0,2.48,52.0,0.0,0.0,57.0,0.0,10.0,3.0,1.0
Eric Nolan,187.96,83.91,187.96,Orthodox,1997-09-13,3.14,39.0,5.13,41.0,0.0,0.0,71.0,0.0,8.0,4.0,0.0
Eric Schafer,190.5,83.91,193.04,Orthodox,1977-09-20,1.89,34.0,3.38,56.0,1.81,36.0,50.0,1.8,14.0,8.0,2.0
Eric Schambari,180.34,83.91,,Orthodox,1978-04-22,,,,,,,,,,,
Eric Schwartz,,92.99,,,,,,,,,,,,,,
Eric Shelton,167.64,56.7,172.72,Orthodox,1991-02-02,2.57,42.0,1.88,63.0,2.83,51.0,46.0,0.2,12.0,6.0,0.0
Eric Smith,,,,Southpaw,,,,,,,,,,,,
Eric Spicely,185.42,83.91,185.42,Orthodox,1986-09-29,3.71,45.0,5.72,55.0,1.31,20.0,75.0,1.0,12.0,6.0,0.0
Eric Steenberg,,70.31,,,1983-06-22,,,,,,,,,,,
Eric Wisely,172.72,65.77,,Southpaw,1984-07-25,1.42,47.0,2.08,56.0,0.0,0.0,27.0,0.9,26.0,9.0,1.0
Eric Wray,182.88,77.11,,Orthodox,,,,,,,,,,,,
Erick Gonzalez,180.34,70.31,190.5,Orthodox,1992-01-20,2.4,36.0,8.08,40.0,6.0,55.0,50.0,0.0,14.0,8.0,0.0
Erick Montano,182.88,77.11,185.42,Orthodox,1985-11-19,2.79,44.0,2.06,64.0,2.29,36.0,66.0,0.0,7.0,5.0,0.0
Erick Sanchez,177.8,65.77,,,1990-10-04,,,,,,,,,,,
Erick Silva,182.88,77.11,187.96,Orthodox,1984-06-21,2.5,48.0,4.18,49.0,0.85,35.0,56.0,1.4,19.0,9.0,0.0
Erick Wanderlei,185.42,92.99,,Orthodox,,,,,,,,,,,,
Ericka Almeida,167.64,52.16,,Orthodox,1989-03-05,1.07,39.0,3.33,43.0,0.5,33.0,37.0,0.0,7.0,3.0,0.0
Erik Apple,182.88,77.11,,Orthodox,1977-08-26,,,,,,,,,,,
Erik Koch,177.8,77.11,180.34,Southpaw,1988-10-04,2.33,42.0,2.82,47.0,1.02,42.0,81.0,1.0,16.0,6.0,0.0
Erik Perez,172.72,61.23,172.72,Orthodox,1989-11-19,3.16,40.0,2.09,66.0,3.16,55.0,69.0,0.2,17.0,6.0,0.0
Erik Silva,175.26,65.77,180.34,Orthodox,1987-03-16,2.07,70.0,1.57,40.0,3.76,80.0,62.0,0.0,9.0,3.0,0.0
Erin Blanchfield,162.56,56.7,167.64,Orthodox,1999-05-04,5.24,44.0,4.21,59.0,1.86,31.0,80.0,0.8,13.0,2.0,0.0
Erisson Ferreira,167.64,56.7,177.8,Orthodox,1991-05-03,,,,,,,,,,,
Ernest Chavez,172.72,65.77,177.8,Orthodox,1983-06-27,2.79,40.0,3.89,59.0,0.89,33.0,50.0,0.0,10.0,2.0,0.0
Ernesta Kareckaite,175.26,56.7,180.34,Orthodox,1998-07-05,7.38,42.0,6.09,48.0,0.67,66.0,82.0,0.0,6.0,1.0,1.0
Ernie Juarez,172.72,65.77,177.8,,1998-01-12,,,,,,,,,,,
Ernie Verdicia,180.34,90.26,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Eros Baluyot,,56.7,,,1992-10-23,,,,,,,,,,,
Errol Zimmerman,190.5,83.91,,Orthodox,1986-04-20,,,,,,,,,,,
Eryk Anders,185.42,83.91,190.5,Southpaw,1987-04-21,3.51,48.0,4.09,50.0,1.75,24.0,80.0,0.1,17.0,9.0,0.0
Esteban Ribovics,177.8,70.31,175.26,Orthodox,1996-04-27,8.09,43.0,6.3,54.0,0.39,66.0,70.0,0.2,15.0,2.0,0.0
Estefani Almeida,162.56,56.7,,Orthodox,1988-10-17,,,,,,,,,,,
Estevan Payan,177.8,65.77,,Orthodox,1982-03-14,4.25,42.0,3.58,57.0,0.36,100.0,60.0,0.4,16.0,12.0,0.0
Ethyn Ewing,,65.77,,,1998-02-16,,,,,,,,,,,
Eugene Jackson,172.72,83.91,,Orthodox,1966-09-23,2.19,33.0,3.44,32.0,1.91,71.0,16.0,2.3,15.0,9.0,1.0
Eugenio Tadeu,172.72,72.57,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
Eun Soo Lee,185.42,97.52,,Orthodox,1982-03-07,,,,,,,,,,,
Evan Dunham,177.8,70.31,177.8,Southpaw,1981-12-18,5.33,39.0,3.54,61.0,1.82,33.0,79.0,1.0,18.0,9.0,1.0
Evan Elder,177.8,70.31,182.88,Switch,1997-04-11,5.66,50.0,4.94,57.0,0.48,15.0,40.0,0.5,10.0,2.0,0.0
Evan Esguerra,,65.77,,,,,,,,,,,,,,
Evan Tanner,182.88,83.91,187.96,Orthodox,1971-02-11,3.05,59.0,2.64,56.0,2.55,43.0,25.0,1.3,32.0,8.0,0.0
Evangelista Santos,177.8,77.11,193.04,Orthodox,1977-12-12,,,,,,,,,,,
Everett Cummings,,92.99,,,,,,,,,,,,,,
Everett Sims,195.58,117.93,195.58,Southpaw,1988-09-04,,,,,,,,,,,
Ewerton Teixeira,185.42,109.77,,,1982-02-13,,,,,,,,,,,
Fabian Gonzalez,177.8,61.23,,,,,,,,,,,,,,
Fabiano Iha,172.72,70.31,,Orthodox,1970-07-28,1.73,47.0,2.49,42.0,2.88,40.0,50.0,2.9,9.0,5.0,0.0
Fabiano Scherner,190.5,116.57,,Orthodox,1972-06-30,1.31,31.0,3.2,38.0,1.09,33.0,40.0,0.0,11.0,10.0,0.0
Fabio Aguiar,182.88,83.91,,,1988-02-10,,,,,,,,,,,
Fabio Cherant,185.42,92.99,187.96,Southpaw,1994-11-25,1.35,40.0,4.89,38.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0
Fabio Gurgel,182.88,92.99,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
Fabio Maldonado,185.42,92.99,190.5,Orthodox,1980-03-17,5.29,58.0,4.31,53.0,0.44,57.0,61.0,0.6,23.0,11.0,0.0
Fabio Mello,165.1,70.31,,Southpaw,,,,,,,,,,,,
Fabio Nascimento,177.8,83.91,,Orthodox,,,,,,,,,,,,
Fabio Silva,180.34,92.99,,Orthodox,1982-03-31,,,,,,,,,,,
Fabiola Pidroni,,52.16,,,1994-01-04,,,,,,,,,,,
Fabricio Camoes,177.8,70.31,180.34,Orthodox,1978-12-23,1.29,33.0,1.85,61.0,2.34,32.0,20.0,1.5,14.0,9.0,1.0
Fabricio Guerreiro,177.8,65.77,,,1990-07-24,,,,,,,,,,,
Fabricio Werdum,193.04,104.78,195.58,Orthodox,1977-07-30,3.59,52.0,2.64,55.0,1.75,31.0,31.0,1.2,24.0,9.0,1.0
Falaniko Vitale,177.8,83.91,,Orthodox,1974-07-14,1.88,49.0,3.68,47.0,0.72,33.0,86.0,0.0,30.0,11.0,0.0
Fares Ziam,185.42,70.31,190.5,Orthodox,1997-03-21,2.85,51.0,1.62,64.0,1.62,40.0,70.0,0.2,17.0,4.0,0.0
Farid Basharat,172.72,61.23,180.34,Orthodox,1997-08-02,4.36,55.0,2.57,59.0,3.97,44.0,80.0,0.5,13.0,0.0,0.0
Farida Abdueva,,52.16,,,2004-05-15,,,,,,,,,,,
Farman Hasanov,,77.11,,,1995-08-01,,,,,,,,,,,
Fatima Kline,167.64,52.16,170.18,Orthodox,2000-07-12,3.94,49.0,2.29,59.0,1.21,60.0,50.0,0.0,8.0,1.0,0.0
Fazlo Mulabitinovic,,61.23,,,,,,,,,,,,,,
Federico Lopez,162.56,63.05,,Orthodox,,,,,,,,,,,,
Fedor Emelianenko,182.88,104.33,187.96,Orthodox,1976-09-28,,,,,,,,,,,
Fedor Nikolov,,,,,,,,,,,,,,,,
Felice Herrig,162.56,52.16,165.1,Orthodox,1984-09-18,3.84,37.0,5.19,48.0,1.08,28.0,75.0,0.8,14.0,10.0,0.0
Felicia Spencer,167.64,65.77,172.72,Orthodox,1990-11-29,3.21,48.0,4.54,45.0,1.18,18.0,27.0,0.2,9.0,3.0,0.0
Felipe Arantes,172.72,61.23,185.42,Orthodox,1988-02-09,2.37,45.0,2.66,64.0,0.93,47.0,41.0,0.7,18.0,10.0,1.0
Felipe Bunes,170.18,56.7,175.26,Orthodox,1989-10-29,2.93,50.0,4.66,44.0,1.13,22.0,40.0,2.3,14.0,8.0,0.0
Felipe Colares,172.72,65.77,175.26,Orthodox,1994-03-31,2.17,45.0,4.65,36.0,1.88,24.0,43.0,0.5,10.0,4.0,0.0
Felipe Franco,185.42,92.99,193.04,Orthodox,2001-01-22,,,,,,,,,,,
Felipe Lima,167.64,61.23,172.72,Orthodox,1998-05-07,2.86,45.0,2.91,64.0,2.18,27.0,85.0,0.7,14.0,2.0,0.0
Felipe Olivieri,175.26,70.31,,Orthodox,1985-04-12,6.68,58.0,4.6,57.0,0.0,0.0,71.0,0.0,14.0,5.0,0.0
Felipe Pena,,,,,1991-10-19,,,,,,,,,,,
Felipe Portela,,77.11,,,1987-11-23,,,,,,,,,,,
Felipe Silva,182.88,70.31,195.58,Orthodox,1984-05-08,5.4,50.0,1.8,59.0,1.0,100.0,71.0,0.0,8.0,2.0,0.0
Felipe dos Santos,170.18,56.7,177.8,Orthodox,2000-09-11,3.75,39.0,3.8,41.0,0.0,0.0,20.0,0.5,8.0,3.0,0.0
Felix Klinkhammer,182.88,77.11,,,,,,,,,,,,,,
Felix Lee Mitchell,,,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0
Fellipe Andrew,,,,,1994-10-24,,,,,,,,,,,
Feng Pengchao,,61.23,,,,,,,,,,,,,,
Feng Xiaocan,170.18,52.16,170.18,Southpaw,2001-10-27,4.18,49.0,1.49,68.0,0.7,100.0,63.0,0.0,10.0,4.0,0.0
Fernando Bettega,,77.11,,,1980-03-10,,,,,,,,,,,
Fernando Bruno,167.64,65.77,,,1982-02-24,1.75,39.0,1.78,48.0,2.02,22.0,56.0,0.5,15.0,4.0,0.0
Fernando Gonzalez,175.26,77.11,172.72,Southpaw,1983-09-15,,,,,,,,,,,
Fernando Padilla,185.42,65.77,193.04,Orthodox,1996-12-15,6.07,40.0,5.74,52.0,0.0,0.0,100.0,0.6,16.0,6.0,0.0
Fernie Garcia,170.18,61.23,170.18,Orthodox,1992-04-12,2.04,34.0,3.79,48.0,0.28,50.0,50.0,0.6,10.0,5.0,0.0
Filip Pejic,172.72,61.23,,Orthodox,1992-07-21,0.0,0.0,0.88,33.0,0.0,0.0,0.0,0.0,12.0,2.0,2.0
Fiona Muxlow,162.56,65.77,,,1977-05-13,,,,,,,,,,,
Flavio Luiz Moura,180.34,83.01,,Open Stance,,0.67,16.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,0.0
Floyd Sword,182.88,83.91,,Orthodox,1976-08-24,0.78,42.0,1.57,40.0,0.0,0.0,33.0,0.0,12.0,3.0,0.0
Forrest Griffin,190.5,92.99,195.58,Orthodox,1979-03-16,4.38,36.0,2.81,61.0,1.05,48.0,57.0,0.7,19.0,7.0,0.0
Forrest Petz,175.26,77.11,180.34,Orthodox,1975-09-22,2.27,29.0,2.2,57.0,1.3,100.0,66.0,0.0,26.0,10.0,0.0
Francesco Maturi,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Francesco Mazzeo,190.5,92.99,190.5,Orthodox,1997-09-23,,,,,,,,,,,
Francimar Barroso,185.42,92.99,190.5,Orthodox,1980-02-28,2.77,52.0,3.07,59.0,2.22,24.0,83.0,0.0,19.0,7.0,0.0
Francis Carmont,190.5,92.99,198.12,Orthodox,1981-10-11,2.22,42.0,1.64,59.0,1.79,36.0,73.0,0.6,25.0,12.0,0.0
Francis Marshall,175.26,65.77,182.88,Orthodox,1999-03-03,3.46,33.0,4.1,54.0,2.75,44.0,66.0,0.4,8.0,3.0,0.0
Francis Ngannou,193.04,113.4,210.82,Orthodox,1986-09-05,2.33,41.0,2.16,41.0,0.76,62.0,71.0,0.3,17.0,3.0,0.0
Francisco Bueno,175.26,102.06,,Orthodox,,,,,,,,,,,,
Francisco Figueiredo,167.64,56.7,172.72,Southpaw,1989-10-23,2.04,61.0,2.59,61.0,2.51,75.0,76.0,0.4,13.0,5.0,1.0
Francisco France,182.88,92.99,,,1983-01-21,,,,,,,,,,,
Francisco Prado,177.8,77.11,175.26,Orthodox,2002-06-16,4.09,43.0,4.95,54.0,0.94,19.0,50.0,0.5,12.0,4.0,0.0
Francisco Rivera,172.72,61.23,177.8,Orthodox,1981-10-08,4.07,41.0,3.16,68.0,1.01,63.0,68.0,0.6,11.0,7.0,0.0
Francisco Trevino,175.26,70.31,177.8,Orthodox,1981-12-17,2.65,42.0,2.42,64.0,0.97,22.0,41.0,0.0,13.0,3.0,0.0
Francisco Trinaldo,175.26,77.11,177.8,Southpaw,1978-08-24,3.13,45.0,2.67,60.0,0.98,42.0,60.0,0.5,28.0,9.0,0.0
Francois Botha,187.96,117.93,,Orthodox,1968-09-28,,,,,,,,,,,
Frank Camacho,177.8,70.31,185.42,Orthodox,1989-05-18,6.56,46.0,7.44,51.0,1.11,31.0,73.0,0.0,22.0,10.0,0.0
Frank Caracci,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
Frank Gomez,177.8,61.23,170.18,Orthodox,1986-03-31,,,,,,,,,,,
Frank Hamaker,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Frank Lester,180.34,77.11,,Orthodox,1984-06-10,2.18,36.0,3.82,53.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0
Frank Megallon,177.8,83.91,,Southpaw,,,,,,,,,,,,
Frank Mir,190.5,119.75,200.66,Southpaw,1979-05-24,2.18,47.0,3.84,38.0,2.02,40.0,54.0,2.0,18.0,11.0,0.0
Frank Shamrock,177.8,83.91,,Orthodox,1972-12-08,4.75,53.0,4.66,57.0,0.35,50.0,37.0,1.1,23.0,10.0,2.0
Frank Silva,,56.7,,,2004-08-25,,,,,,,,,,,
Frank Trigg,175.26,77.11,180.34,Southpaw,1972-05-07,2.79,46.0,1.9,56.0,2.35,47.0,75.0,0.8,21.0,9.0,0.0
Frankie Edgar,167.64,61.23,172.72,Orthodox,1981-10-16,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3,23.0,11.0,1.0
Frankie Perez,180.34,70.31,185.42,Orthodox,1989-05-11,1.64,41.0,2.17,54.0,1.75,41.0,50.0,0.3,10.0,4.0,0.0
Frankie Saenz,167.64,61.23,167.64,Orthodox,1980-08-12,3.94,47.0,3.5,52.0,1.74,31.0,61.0,0.1,13.0,7.0,0.0
Fred Ettish,182.88,81.65,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Freddy Vidal,190.5,92.99,200.66,Orthodox,1994-05-06,,,,,,,,,,,
Frederick Brown,182.88,106.59,,,,,,,,,,,,,,
Fredson Paixao,167.64,65.77,167.64,Orthodox,1979-05-13,1.71,54.0,2.31,62.0,0.62,11.0,10.0,2.2,10.0,5.0,0.0
Fredy Serrano,160.02,56.7,165.1,Orthodox,1979-09-22,1.58,26.0,1.89,61.0,2.84,25.0,84.0,0.0,3.0,2.0,0.0
